Balance,RiskBudget,MeanDistortion,MedianDistortion,MaxDistortion,MinDistortion,PctTradesDistorted,MeanActualRiskPct,MaxActualRiskPct,MarginPassPct,Executable
37,0.185,69.74030552291426,59.90810810810856,186.3621621621614,15.551351351353555,100.0,34.87015276145713,93.1810810810807,0.0,False
38,0.19,67.90503432494285,58.331578947368854,181.45789473684138,15.142105263160039,100.0,33.95251716247142,90.72894736842069,0.0,False
39,0.195,66.16387959866225,56.83589743589786,176.80512820512752,14.753846153848244,100.0,33.081939799331124,88.40256410256376,1.3175230566534915,True
40,0.2,64.5097826086957,55.41500000000041,172.3849999999993,14.385000000002037,100.0,32.25489130434785,86.19249999999965,4.874835309617918,True
41,0.20500000000000002,62.93637327677629,54.063414634146746,168.18048780487737,14.034146341465403,100.0,31.468186638388143,84.09024390243869,20.948616600790515,True
42,0.21,61.437888198757804,52.77619047619088,164.17619047618982,13.70000000000194,100.0,30.718944099378902,82.08809523809491,36.231884057971016,True
43,0.215,60.00910010111228,51.54883720930271,160.35813953488307,13.381395348839103,100.0,30.00455005055614,80.17906976744153,41.370223978919626,True
44,0.22,58.64525691699608,50.3772727272731,156.71363636363574,13.07727272727458,100.0,29.32262845849804,78.35681818181787,55.73122529644269,True
45,0.225,57.342028985507284,49.25777777777815,153.2311111111105,12.786666666668477,100.0,28.671014492753642,76.61555555555525,70.4874835309618,True
46,0.23,56.09546313799626,48.186956521739496,149.89999999999938,12.508695652175685,100.0,28.04773156899813,74.94999999999969,72.46376811594203,True
47,0.23500000000000001,54.90194264569846,47.161702127659936,146.71063829787175,12.242553191491096,100.0,27.45097132284923,73.35531914893588,75.75757575757575,True
48,0.24,53.75815217391308,46.179166666667015,143.65416666666607,11.987500000001699,100.0,26.87907608695654,71.82708333333304,81.81818181818183,True
49,0.245,52.6610470275067,45.23673469387789,140.72244897959126,11.742857142858806,100.0,26.33052351375335,70.36122448979563,83.13570487483531,True
50,0.25,51.60782608695656,44.332000000000335,137.90799999999945,11.50800000000163,100.0,25.80391304347828,68.95399999999972,88.66930171277997,True
51,0.255,50.59590792838878,43.46274509803955,135.2039215686269,11.282352941178068,100.0,25.29795396419439,67.60196078431345,94.46640316205533,True
52,0.26,49.622909698996686,42.626923076923404,132.6038461538456,11.065384615386183,100.0,24.811454849498343,66.3019230769228,99.7364953886693,True
53,0.265,48.686628383921274,41.82264150943428,130.10188679245232,10.856603773586443,100.0,24.343314191960637,65.05094339622616,99.7364953886693,True
54,0.27,47.7850241545894,41.04814814814846,127.69259259259209,10.655555555557065,100.0,23.8925120772947,63.846296296296046,100.0,True
55,0.275,46.916205533596866,40.30181818181849,125.37090909090858,10.461818181819664,100.0,23.458102766798433,62.68545454545429,100.0,True
56,0.28,46.07841614906836,39.582142857143154,123.13214285714236,10.275000000001455,100.0,23.03920807453418,61.56607142857118,100.0,True
57,0.28500000000000003,45.270022883295226,38.88771929824591,120.9719298245609,10.094736842106693,100.0,22.635011441647613,60.48596491228045,100.0,True
58,0.29,44.489505247376336,38.217241379310636,118.88620689655124,9.920689655173819,100.0,22.244752623688168,59.44310344827562,100.0,True
59,0.295,43.73544583640387,37.56949152542401,116.87118644067749,9.752542372882738,100.0,21.867722918201935,58.435593220338745,100.0,True
60,0.3,43.00652173913046,36.94333333333361,114.92333333333286,9.590000000001359,100.0,21.50326086956523,57.46166666666643,100.0,True
61,0.305,42.30149679258734,36.33770491803306,113.03934426229463,9.432786885247237,100.0,21.15074839629367,56.51967213114732,100.0,True
62,0.31,41.61921458625529,35.751612903226075,111.21612903225761,9.280645161291638,100.0,20.809607293127645,55.608064516128806,100.0,True
63,0.315,40.9585921325052,35.18412698412725,109.45079365079322,9.133333333334628,100.0,20.4792960662526,54.72539682539661,100.0,True
64,0.32,40.31861413043481,34.63437500000026,107.74062499999957,8.990625000001273,100.0,20.159307065217405,53.870312499999784,100.0,True
65,0.325,39.698327759197355,34.101538461538716,106.0830769230765,8.852307692308946,100.0,19.849163879598677,53.04153846153825,100.0,True
66,0.33,39.09683794466405,33.58484848484874,104.47575757575716,8.718181818183053,100.0,19.548418972332026,52.23787878787858,100.0,True
67,0.335,38.513303049967575,33.083582089552486,102.91641791044735,8.588059701493753,100.0,19.256651524983788,51.458208955223675,100.0,True
68,0.34,37.94693094629159,32.59705882352966,101.40294117647018,8.461764705883551,100.0,18.973465473145794,50.70147058823509,100.0,True
69,0.34500000000000003,37.39697542533084,32.12463768115966,99.93333333333293,8.33913043478379,100.0,18.69848771266542,49.96666666666646,100.0,True
70,0.35000000000000003,36.86273291925468,31.665714285714525,98.50571428571388,8.220000000001164,100.0,18.43136645962734,49.25285714285694,100.0,True
71,0.355,36.34353949785673,31.21971830985939,97.11830985915454,8.104225352113824,100.0,18.171769748928366,48.55915492957727,100.0,True
